Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10090\trunk\production_files\400389_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       20.01.22
Time:       14:37
Revision:   22185
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U24","ADP198ACPZ","TopLayer","UFDFN50P200X200X60_HS-9N","11.0363","36.3738","90","Logic Controlled, 1 A, High-Side Load Switch with Reverse Current Blocking"
"SB29","Solderbridge","TopLayer","Solderbridge","9.2076","37.1866","90","Solderbridge"
"C70","100nF","TopLayer","CAPC0603X03L_C","8.2678","38.0756","270","Capacitor, X5R, ±10%"
"R85","150k","TopLayer","RESC0603X03L_C","10.9856","39.3964","270","Resistor, ±1%, 0.05W"
"D7","NSR0620P2T5G","TopLayer","SODFL100X40-2N","8.9028","35.8658","180","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"FB4","120R/0.55A","TopLayer","INDC1005X04L","7.4296","36.9326","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"SB36","Solderbridge","TopLayer","Solderbridge","22.6060","36.7548","180","Solderbridge"
"C78","1.0µF","TopLayer","CAPC0603X03L_C","25.0704","38.0185","90","Capacitor, X5R, ±10%"
"U31","ADP198ACPZ","TopLayer","UFDFN50P200X200X60_HS-9N","31.6991","39.2186","90","Logic Controlled, 1 A, High-Side Load Switch with Reverse Current Blocking"
"U30","ADP198ACPZ","TopLayer","UFDFN50P200X200X60_HS-9N","22.5895","38.6310","180","Logic Controlled, 1 A, High-Side Load Switch with Reverse Current Blocking"
"C79","1.0µF","TopLayer","CAPC0603X03L_C","28.9560","38.9900","90","Capacitor, X5R, ±10%"
"U28","AP7333-33SAG-7","TopLayer","SOT-23A","27.0510","38.8290","0","300mA, Low Quiescent Current, Fast Transient Low Dropout Linear Regulator"
"SB37","Solderbridge","TopLayer","Solderbridge","29.8704","38.3042","270","Solderbridge"
"U33","ADP198ACPZ","TopLayer","UFDFN50P200X200X60_HS-9N","22.9615","23.8770","90","Logic Controlled, 1 A, High-Side Load Switch with Reverse Current Blocking"
"U32","ADP198ACPZ","TopLayer","UFDFN50P200X200X60_HS-9N","22.8601","19.5590","270","Logic Controlled, 1 A, High-Side Load Switch with Reverse Current Blocking"
"SB38","Solderbridge","TopLayer","Solderbridge","25.1354","24.9383","90","Solderbridge"
"Q10","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","21.0058","21.7180","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R103","1M0","TopLayer","RESC0603X03L_C","22.9616","25.9344","180","Resistor, ±1%, 0.05W"
"U26","ADP198ACPZ","TopLayer","UFDFN50P200X200X60_HS-9N","17.2466","22.0483","0","Logic Controlled, 1 A, High-Side Load Switch with Reverse Current Blocking"
"SB31","Solderbridge","TopLayer","Solderbridge","17.1958","24.2834","0","Solderbridge"
"D9","NSR0620P2T5G","TopLayer","SODFL100X40-2N","17.1958","25.5534","0","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"U25","ADP198ACPZ","TopLayer","UFDFN50P200X200X60_HS-9N","9.7281","14.5806","90","Logic Controlled, 1 A, High-Side Load Switch with Reverse Current Blocking"
"R93","10M","TopLayer","RESC0603X03L_C","5.6388","14.6060","90","Resistor, ±1%, 0.05W"
"D8","NSR0620P2T5G","TopLayer","SODFL100X40-2N","6.5278","14.5806","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"SB30","Solderbridge","TopLayer","Solderbridge","7.7724","14.5806","90","Solderbridge"
"TP54","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","22.9870","13.9653","90","1.5mm circular SMD testpad"
"U22","74LVC1G11","TopLayer","SOT65P210X100-6N","3.3778","13.0566","270","Single 3-input AND gate"
"TP49","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","9.8692","7.1130","90","1.5mm circular SMD testpad"
"TP48","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","24.7955","21.3795","90","1.5mm circular SMD testpad"
