Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10090\trunk\production_files\400389_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       20.01.22
Time:       14:37
Revision:   22185
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U17","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","103.0332","26.2854","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U18","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","107.8172","26.2854","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","73.9023","28.2004","270","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"TP44","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","11.5824","30.7604","180","1.5mm circular SMD testpad"
"TP43","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","11.0744","33.2762","180","1.5mm circular SMD testpad"
"R88","1M0","TopLayer","RESC0603X03L_C","16.8530","37.7035","90","Resistor, ±1%, 0.05W"
"L2","22nH","TopLayer","INDC0603X03L_C","143.0842","36.5726","270","Chip Inductor"
"L1","1.5nH","TopLayer","INDC0603X03L_C","140.2335","35.1171","0","Inductor, 650mA, ±0.1nH"
"C43","100nF","TopLayer","CAPC0603X03L_C","51.0070","26.0011","180","Capacitor, X5R, ±10%"
"C41","100nF","TopLayer","CAPC0603X03L_C","41.0718","16.4841","180","Capacitor, X5R, ±10%"
"C40","100nF","TopLayer","CAPC0603X03L_C","32.7660","20.7513","90","Capacitor, X5R, ±10%"
"C20","12pF","TopLayer","CAPC0603X03L_C","97.8916","45.6692","180","Capacitor, NP0, ±2%"
"C19","47nF","TopLayer","CAPC0603X03L_C","98.9984","42.8830","270","Capacitor, X5R, ±10%"
"C18","1.0µF","TopLayer","CAPC1005X04L","99.7350","43.1624","270","Capacitor, X5R, ±5%, 6.3V"
"C5","4.7µF","TopLayer","CAPC1005X04L","113.3466","25.4262","90","Capacitor, X5R, ±20%"
"C14","100pF","TopLayer","CAPC0603X03L_C","134.8000","39.8220","270","Capacitor, NP0, ±2%, 25V"
"C13","39pF","TopLayer","CAPC0603X03L_C","133.1300","33.6816","270","Capacitor, NP0, ±1%, 25V"
"C86","3.5pF","TopLayer","CAPC0603X03L_C","142.5448","35.1170","0","Capacitor, NP0, ±0.1pF, 25V"
"C90","N.C.","TopLayer","CAPC0603X03L_C_NC","141.9860","36.5770","270","Not mounted"
"C6","4.7µF","TopLayer","CAPC2012X11L","112.0648","23.5596","180","Capacitor, X5R, ±10%, 16V"
"C88","N.C.","TopLayer","CAPC0603X03L_C_NC","139.7000","36.5770","270","Not mounted"
"U14","FSA2259UMX","TopLayer","UFQFN40P140X180X55-10N","73.8696","35.6207","270","Low-Voltage, Dual-SPDT analog Switch"
"U11","FSA2259UMX","TopLayer","UFQFN40P140X180X55-10N","92.3544","29.9212","270","Low-Voltage, Dual-SPDT analog Switch"
"R36","150R","TopLayer","RESC0603X03L_C","51.0070","27.2043","0","Resistor, ±1%, 0.05W"
"R35","150R","TopLayer","RESC0603X03L_C","51.0070","26.6027","0","Resistor, ±1%, 0.05W"
"R34","150R","TopLayer","RESC0603X03L_C","51.0070","25.0011","0","Resistor, ±1%, 0.05W"
"R33","150R","TopLayer","RESC0603X03L_C","51.0070","22.6535","0","Resistor, ±1%, 0.05W"
"R32","150R","TopLayer","RESC0603X03L_C","51.0070","22.0519","0","Resistor, ±1%, 0.05W"
"R31","150R","TopLayer","RESC0603X03L_C","51.0070","21.4503","0","Resistor, ±1%, 0.05W"
"R30","150R","TopLayer","RESC0603X03L_C","51.0070","20.8487","0","Resistor, ±1%, 0.05W"
"R23","33R","TopLayer","RESC0603X03L_C","42.7322","35.9951","270","Resistor, ±1%, 0.05W"
"R71","1M0","TopLayer","RESC0603X03L_C","108.4326","27.9654","180","Resistor, ±1%, 0.05W"
"R70","1M0","TopLayer","RESC0603X03L_C","102.8192","24.3586","90","Resistor, ±1%, 0.05W"
"R10","0R","TopLayer","RESC0603X03L_C","106.3994","39.4772","180","Resistor, ±5%, 0.05W"
"R6","0R","TopLayer","RESC0603X03L_C","135.9500","39.8220","90","Resistor, ±5%, 0.05W"
"R1","10k","TopLayer","RESC0603X03L_C","115.6716","30.7086","0","Resistor, ±1%, 0.05W"
"R3","0R","TopLayer","RESC0603X03L_C","111.4000","18.6500","180","Resistor, ±5%, 0.05W"
"FB1","120R/0.7A","TopLayer","INDC1005X04L","114.6810","31.3944","270","Ferrite Bead, 120 Ohm @ 100MHz, 700mA, 130 mOhm Max"
"D5","CM1402","TopLayer","CM1402","88.0110","16.6560","180","EMI Network Filter Arrays SIM CARD EMI FILTER WITH ESD PROTECTION"
"C38","100nF","TopLayer","CAPC0603X03L_C","32.7660","29.8191","270","Capacitor, X5R, ±10%"
"TP35","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","69.6134","12.0406","225","1.0mm circular SMD testpad"
"TP36","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","77.9954","12.0406","225","1.0mm circular SMD testpad"
"TP27","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","65.1510","19.8120","0","1.5mm circular SMD testpad"
"TP24","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","62.6110","19.8120","0","1.5mm circular SMD testpad"
"TP26","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","65.1510","22.3520","0","1.5mm circular SMD testpad"
"TP25","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","62.6110","22.3520","0","1.5mm circular SMD testpad"
"TP14","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","53.7210","22.0792","90","1.5mm circular SMD testpad"
"LED4","L0603G","TopLayer","LED_0603_G","108.0000","15.7500","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED3","L0603G","TopLayer","LED_0603_G","102.0000","15.7500","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED2","L0603G","TopLayer","LED_0603_G","108.0000","21.0000","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED1","L0603G","TopLayer","LED_0603_G","102.0000","21.0000","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"F1","SAFFB2G45MA0F0A","TopLayer","SAFFB2G45MA0F0A","103.1228","52.6874","90","2.4 GHz BPF"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","134.5000","24.2640","90","Coaxial Connector with Switch"
"TP41","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","66.7588","26.1630","180","1.5mm circular SMD testpad"
"P18","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","78.2320","42.8000","180","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"TP51","TP","TopLayer","TESTPAD-TH","92.9640","58.5480","0","Testpoint, through hole"
"R15","10k","TopLayer","RESC0603X03L_C","10.3124","58.4464","0","Resistor, ±1%, 0.05W"
"Q2","PMCPB5530","TopLayer","PMCPB5530X","10.6767","56.8208","180","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R16","10k","TopLayer","RESC0603X03L_C","8.6256","56.4906","270","Resistor, ±1%, 0.05W"
"R13","10k","TopLayer","RESC0603X03L_C","12.5845","54.2402","90","Resistor, ±1%, 0.05W"
"R18","120R","TopLayer","RESC0603X03L_C","31.7500","21.3360","90","Resistor, ±1%, 0.05W"
"R49","1M0","TopLayer","RESC0603X03L_C","105.2318","9.8036","90","Resistor, ±1%, 0.05W"
"LED5","L0603G","TopLayer","LED_0603_G","31.7500","19.4500","90","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"J6","MicroUSB-B","TopLayer","USB-Micro-B-RA-SMD-PiP","4.8053","31.7510","0","MicroUSB-B-SMT"
"D6","PRTR5V0U2X","TopLayer","SOT190P230X110-4L","8.7847","32.0581","90","Ultra low capacitance double rail-to-rail ESD protection diode"
"U4","MK22FN128VLL10","TopLayer","TSQFP50P1600X1600X160-100N","41.7830","25.5011","270","100MHz Cortex-M4F Performance MCU, 128kB Flash, 24kB SRAM, Full-Speed USB"
"R52","1M0","TopLayer","RESC0603X03L_C","90.5764","30.5054","0","Resistor, ±1%, 0.05W"
"C26","100pF","TopLayer","CAPC0603X03L_C","99.5426","48.4886","180","Capacitor, NP0, ±2%, 25V"
"C28","12pF","TopLayer","CAPC0603X03L_C","102.8954","38.4810","270","Capacitor, NP0, ±2%"
"C36","100nF","TopLayer","CAPC0603X03L_C","108.2120","44.9150","180","Capacitor, X5R, ±10%"
"C53","100nF","TopLayer","CAPC0603X03L_C","92.8624","31.4452","0","Capacitor, X5R, ±10%"
"C34","4.7µF","TopLayer","CAPC1608X06L","106.7782","40.3430","180","Capacitor, X5R, ±10%"
"C27","N.C.","TopLayer","CAPC0603X03L_C_NC","101.0158","49.1998","270","Not mounted"
"C35","100nF","TopLayer","CAPC0603X03L_C","107.9580","47.9630","270","Capacitor, X5R, ±10%"
"C51","100nF","TopLayer","CAPC0603X03L_C","107.9840","10.9259","270","Capacitor, X5R, ±10%"
"C60","100nF","TopLayer","CAPC0603X03L_C","74.3966","37.4904","90","Capacitor, X5R, ±10%"
"C63","100nF","TopLayer","CAPC0603X03L_C","101.0920","26.6954","90","Capacitor, X5R, ±10%"
"C29","1.0pF","TopLayer","CAPC0603X03L_C","102.6240","48.9790","0","Capacitor, NP0, ±0.05pF, 50V"
"C52","100nF","TopLayer","CAPC0603X03L_C","89.0270","31.3690","0","Capacitor, X5R, ±10%"
"C30","1.0pF","TopLayer","CAPC0603X03L_C","102.7510","51.0110","0","Capacitor, NP0, ±0.05pF, 50V"
"C50","100nF","TopLayer","CAPC0603X03L_C","109.2210","11.8874","90","Capacitor, X5R, ±10%"
"C64","100nF","TopLayer","CAPC0603X03L_C","105.8672","26.7890","90","Capacitor, X5R, ±10%"
"C48","100nF","TopLayer","CAPC0603X03L_C","76.2703","28.0004","0","Capacitor, X5R, ±10%"
"C31","1.5pF","TopLayer","CAPC0603X03L_C","103.8248","61.9516","90","Capacitor, NP0, ±0.1pF"
"C33","820pF","TopLayer","CAPC0603X03L_C","105.2336","49.1023","225","Capacitor, X7R, ±10%"
"R22","33R","TopLayer","RESC0603X03L_C","43.3338","35.9951","270","Resistor, ±1%, 0.05W"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0210","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6210","0","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6210","0","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8810","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8810","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6210","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8810","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8810","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6210","0","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","TopLayer","SOCKET_2x3_SMD-2.54mm-bottom-NC","64.8970","33.0210","270","Socket 2x3, 2.54mm (100mil), SMD"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","59.0306","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P28","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm","95.1230","13.4630","0","Pin Header 2x5, 1.27mm (50mil), SMD"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5410","0","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5410","0","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9610","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9610","180","Pin Header 2x10, 2.54mm (100mil)"
"C44","100nF","TopLayer","CAPC0603X03L_C","44.2830","34.7251","270","Capacitor, X5R, ±10%"
"SW7","Switch","TopLayer","CJS-120xA","94.8000","3.3000","0","SMD slide Switch (ON-ON)"
"TP34","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","69.6134","14.5806","270","1.0mm circular SMD testpad"
"U21","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","82.5500","17.4738","270","Low-ohmic four-pole double-throw analog switch"
"C45","100nF","TopLayer","CAPC0603X03L_C","46.7868","36.0436","270","Capacitor, X5R, ±10%"
"C24","100nF","TopLayer","CAPC0603X03L_C","99.8300","47.2010","270","Capacitor, X5R, ±10%"
"C21","12pF","TopLayer","CAPC0603X03L_C","97.8916","48.7934","0","Capacitor, NP0, ±2%"
"FB3","120R/0.55A","TopLayer","INDC1005X04L","4.1530","26.9250","0","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"FB2","120R/0.55A","TopLayer","INDC1005X04L","7.5458","28.7800","270","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"J5","SF72S006VBAR2500","TopLayer","SF72S006VBAR2500","85.4715","7.9270","0","n 8 (6 + 2) Position Card Connector NANO SIM Surface Mount, Right Angle Gold"
"P22","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.5628","44.7790","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"Q7","PMCPB5530","TopLayer","PMCPB5530X","14.8210","37.4914","0","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R44","1M0","TopLayer","RESC0603X03L_C","73.4060","26.6192","0","Resistor, ±1%, 0.05W"
"R76","120R","TopLayer","RESC0603X03L_C","108.6985","14.8683","0","Resistor, ±1%, 0.05W"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","73.7362","5.3340","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","116.3460","4.0650","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW4","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","129.0000","4.0650","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","JS102011JCQN","TopLayer","JS102011JCQN","116.6000","14.0000","180","Sub-Miniature Slide Switch, SPDT, 300mA, 6V, Vertical, SMD"
"SW2","JS102011JCQN","TopLayer","JS102011JCQN","128.7460","14.0000","180","Sub-Miniature Slide Switch, SPDT, 300mA, 6V, Vertical, SMD"
"SW6","CAS-220TA","TopLayer","CAS-220TA","58.6110","16.5884","180","Slide Switch DPDT J Hook"
"U20","MFFx_M2M_UICC","TopLayer","SON127P600X90_HS-8N","73.8044","13.9456","0","M2M UICC SIM Card"
"U15","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","57.7457","24.7569","0","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U16","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","92.1680","24.3383","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"C39","100nF","TopLayer","CAPC0603X03L_C","32.7660","24.2311","90","Capacitor, X5R, ±10%"
"C42","100nF","TopLayer","CAPC0603X03L_C","48.1330","16.5110","180","Capacitor, X5R, ±10%"
"P25","Pin Header 2x10, 1.27mm","TopLayer","HDR_2x10-SMD-1.27mm-NC","71.8820","42.8000","180","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud"
"P26","Socket 1x13","BottomLayer","LIST_1x13_SMD-NC","34.0360","45.7210","0","Socket 1x13, 2.54mm (100mil), SMD"
"R21","150R","TopLayer","RESC0603X03L_C","39.7830","16.1501","270","Resistor, ±1%, 0.05W"
"R40","150R","TopLayer","RESC0603X03L_C","51.0070","29.5011","0","Resistor, ±1%, 0.05W"
"R43","150R","TopLayer","RESC0603X03L_C","51.0070","32.7711","0","Resistor, ±1%, 0.05W"
"SB2","Solderbridge","BottomLayer","Solderbridge","116.4750","25.5750","0","Solderbridge"
"SB27","Solderbridge","TopLayer","Solderbridge","64.5160","27.9410","0","Solderbridge"
"SB18","Solderbridge","TopLayer","Solderbridge","95.3770","21.9710","270","Solderbridge"
"C22","100nF","TopLayer","CAPC0603X03L_C","100.8634","40.4368","0","Capacitor, X5R, ±10%"
"C23","1.0µF","TopLayer","CAPC1005X04L","99.1362","40.5638","0","Capacitor, X5R, ±5%, 6.3V"
"C25","12pF","TopLayer","CAPC0603X03L_C","98.6790","38.4810","90","Capacitor, NP0, ±2%"
"C37","4.7µF","TopLayer","CAPC1005X04L","36.4490","34.5450","180","Capacitor, X5R, ±20%"
"C47","10nF","TopLayer","CAPC0603X03L_C","28.5496","16.6370","180","Capacitor, X7R, ±10%"
"C49","100nF","TopLayer","CAPC0603X03L_C","67.8720","18.1677","270","Capacitor, X5R, ±10%"
"C61","100nF","TopLayer","CAPC0603X03L_C","57.9457","26.9979","90","Capacitor, X5R, ±10%"
"C62","100nF","TopLayer","CAPC0603X03L_C","90.1120","25.2271","90","Capacitor, X5R, ±10%"
"C69","10nF","TopLayer","CAPC0603X03L_C","8.1916","34.1132","180","Capacitor, X7R, ±10%"
"C66","N.C.","TopLayer","CAPC0603X03L_C_NC","76.2000","17.1460","0","Not mounted"
"C67","10nF","TopLayer","CAPC0603X03L_C","86.1060","16.0770","180","Capacitor, X7R, ±10%"
"C68","100nF","TopLayer","CAPC0603X03L_C","85.0450","17.2738","180","Capacitor, X5R, ±10%"
"R47","1M0","TopLayer","RESC0603X03L_C","111.1504","13.0302","180","Resistor, ±1%, 0.05W"
"R53","1M0","TopLayer","RESC0603X03L_C","95.0214","29.5656","180","Resistor, ±1%, 0.05W"
"R37","150R","TopLayer","RESC0603X03L_C","51.0070","27.8059","0","Resistor, ±1%, 0.05W"
"R87","47k","TopLayer","RESC0603X03L_C","54.3560","18.6700","270","Resistor, ±1%, 0.05W"
"R83","100k","TopLayer","RESC0603X03L_C","37.4142","14.9606","90","Resistor, ±1%, 0.05W"
"R73","120R","TopLayer","RESC0603X03L_C","102.6985","20.1183","0","Resistor, ±1%, 0.05W"
"R74","120R","TopLayer","RESC0603X03L_C","108.6985","20.1183","0","Resistor, ±1%, 0.05W"
"R75","120R","TopLayer","RESC0603X03L_C","102.6985","14.8683","0","Resistor, ±1%, 0.05W"
"R12","100k","TopLayer","RESC0603X03L_C","51.0070","24.0011","180","Resistor, ±1%, 0.05W"
"R86","1M0","TopLayer","RESC0603X03L_C","66.0400","26.6700","180","Resistor, ±1%, 0.05W"
"U3","nRF52840-QIAA","TopLayer","AQFN50P700X700X85_HS-74N","103.8940","44.6610","90","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"X2","32.768kHz","TopLayer","XTAL_3215","100.7872","38.4810","0","XTAL SMD 3215, 32.768kHz, 9pF, ±20ppm"
"A1","P822601","TopLayer","P822601","147.9944","33.4020","270","ANTENNA PRESTTA OCTABAND LTE"
"P17","Pin Header 2x8","TopLayer","HDR_2x8-NC","77.4700","60.9610","180","Pin Header 2x8, 2.54mm (100mil)"
"P12","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","77.4700","55.8810","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8810","180","Socket 1x8, 2.54mm (100mil), SMD"
"Fid1","Fiducial mark","TopLayer","Fiducial","8.3354","62.1040","0","Fiducial Mark"
"U19","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","87.7496","35.9915","270","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"SB24","Solderbridge","TopLayer","Solderbridge","9.8552","53.5950","270","Solderbridge"
"SB25","Solderbridge","TopLayer","Solderbridge","13.9828","35.5346","180","Solderbridge"
"R14","10k","TopLayer","RESC0603X03L_C","12.5616","57.7860","90","Resistor, ±1%, 0.05W"
"R19","1M0","TopLayer","RESC0603X03L_C","38.5318","15.5448","180","Resistor, ±1%, 0.05W"
"R24","150R","TopLayer","RESC0603X03L_C","45.4020","16.2771","270","Resistor, ±1%, 0.05W"
"R26","150R","TopLayer","RESC0603X03L_C","46.7830","16.2771","270","Resistor, ±1%, 0.05W"
"R27","150R","TopLayer","RESC0603X03L_C","50.9979","18.9329","0","Resistor, ±1%, 0.05W"
"R28","150R","TopLayer","RESC0603X03L_C","50.9979","19.5590","0","Resistor, ±1%, 0.05W"
"R29","150R","TopLayer","RESC0603X03L_C","50.9979","20.1940","0","Resistor, ±1%, 0.05W"
"R38","150R","TopLayer","RESC0603X03L_C","54.3565","28.1061","0","Resistor, ±1%, 0.05W"
"R41","150R","TopLayer","RESC0603X03L_C","52.1970","30.7954","0","Resistor, ±1%, 0.05W"
"TP15","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","32.1291","22.3530","90","1.5mm circular SMD testpad"
"TP16","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.9570","24.7660","90","1.5mm circular SMD testpad"
"TP17","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.2830","20.6496","90","1.5mm circular SMD testpad"
"TP18","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.8300","29.5294","90","1.5mm circular SMD testpad"
"TP19","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","34.1630","26.5440","90","1.5mm circular SMD testpad"
"P24","SSM-102-T-DV-BE-TR","TopLayer","SSM-102-T-DV-BE-TR","95.2500","52.0708","270",".025 SOCKET STRIPS"
"SB16","Solderbridge","TopLayer","Solderbridge","89.3572","23.6113","180","Solderbridge"
"SB17","Solderbridge","TopLayer","Solderbridge","94.1070","21.9710","270","Solderbridge"
"SB19","Solderbridge","TopLayer","Solderbridge","92.8370","21.9710","270","Solderbridge"
"R69","1M0","TopLayer","RESC0603X03L_C","60.4520","24.1310","90","Resistor, ±1%, 0.05W"
"Fid2","Fiducial mark","TopLayer","Fiducial","135.8900","61.2140","0","Fiducial Mark"
"A3","2450AT18D0100","TopLayer","2450AT18D0100_STD-L","108.3665","62.2786","0","2.45 GHz chip antenna"
"C32","N.C.","TopLayer","CAPC0603X03L_C_NC","105.8968","61.9516","270","Not mounted"
"TP10","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","105.8190","38.6366","180","1.5mm circular SMD testpad"
"TP11","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","111.3790","54.4840","180","1.5mm circular SMD testpad"
"TP13","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","114.8080","48.9790","90","1.5mm circular SMD testpad"
"TP12","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","113.2840","46.6100","90","1.5mm circular SMD testpad"
"TP5","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","135.5000","19.8100","0","1.0mm circular SMD testpad"
"J8","microSD Card Connector","BottomLayer","Molex_502774-0891","115.8950","15.1150","0","1.10mm Pitch microSD Memory Card Connector, Reverse Mount Surface Mount, Push-Push Type"
"TP8","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","110.0000","32.0000","270","1.0mm circular SMD testpad"
"TP9","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","110.0000","29.5000","270","1.0mm circular SMD testpad"
"TP20","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","75.6920","19.8120","0","1.5mm circular SMD testpad"
"TP21","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","75.6920","22.3520","0","1.5mm circular SMD testpad"
"C87","N.C.","TopLayer","CAPC0603X03L_C_NC","131.0300","30.8800","0","Not mounted"
"J3","MM8130-2600","TopLayer","COAXIAL-SWF","102.8728","55.5508","180","Coaxial Connector with Switch"
"L11","2.0nH","TopLayer","INDC0603X03L_C","104.8997","61.6287","0","Chip Inductor"
"C15","100nF","TopLayer","CAPC0603X03L_C","135.3750","39.8220","270","Capacitor, X5R, ±10%"
"C16","100nF","TopLayer","CAPC0603X03L_C","137.1000","39.8220","270","Capacitor, X5R, ±10%"
"L6","9.1nH","TopLayer","INDC1005X04L_WW","134.4750","35.4220","180","Inductor, 540mA, ±2%, 140mO, Q=25"
"J2","MHF I Receptacle","TopLayer","COAXIAL_RF_U.FL-R-SMT-1","134.9675","30.8800","270","Ultraminiature Coaxial Connector, 50 Ohm, SMD"
"R8","0R","TopLayer","RESC0603X03L_C","137.6750","39.1720","90","Resistor, ±5%, 0.05W"
"R39","1M0","TopLayer","RESC0603X03L_C","54.3560","28.7020","0","Resistor, ±1%, 0.05W"
"R42","1M0","TopLayer","RESC0603X03L_C","52.5780","32.3962","90","Resistor, ±1%, 0.05W"
"R81","1k","TopLayer","RESC0603X03L_C","111.7694","15.1590","90","Resistor, ±1%, 0.05W"
"R82","1k","TopLayer","RESC0603X03L_C","123.9060","15.1572","90","Resistor, ±1%, 0.05W"
"SB34","Solderbridge","TopLayer","Solderbridge","15.2398","44.7790","270","Solderbridge"
